Month,senti_score,mean_senti_score,positive,negative,count
2009-1,2.4723447003870356,0.06180861750967589,9.0,31.0,40
2009-2,0.2011907195201313,0.05029767988003282,1.0,3.0,4
2009-3,0.525553876109482,0.1313884690273705,2.0,2.0,4
2009-4,0.801472831666295,0.13357880527771585,2.0,4.0,6
2009-5,0.06491491913569836,0.02163830637856612,0.0,3.0,3
2009-6,0.3937556080283355,0.09843890200708387,1.0,3.0,4
2009-7,0.15519694302314818,0.05173231434104939,1.0,2.0,3
2009-8,0.3034891774891775,0.15174458874458874,1.0,1.0,2
2009-9,1.9057023874556531,0.07329624567137127,4.0,22.0,26
2009-10,3.748805183324297,0.04868578160161425,9.0,68.0,77
2009-11,1.5634521592239132,0.05583757711513976,4.0,24.0,28
2009-12,2.840483888149605,0.05260155348425194,11.0,43.0,54
2010-1,1.2185125870672202,0.08123417247114802,5.0,10.0,15
2010-2,0.46200893964709755,0.09240178792941951,1.0,4.0,5
2010-3,0.7061052917807968,0.0882631614725996,4.0,4.0,8
2010-4,1.8254562871832198,0.08297528578105545,3.0,19.0,22
2010-5,0.11890435655034653,0.03963478551678218,0.0,3.0,3
2010-6,2.984167973845385,0.05425759952446155,10.0,45.0,55
2010-7,1.1520311812081316,0.08861778316985627,3.0,10.0,13
2010-8,2.580036117094581,0.06000083993243211,6.0,37.0,43
2010-9,4.579617925513963,0.06106157234018617,19.0,56.0,75
2010-10,2.027842856495109,0.05632896823597525,7.0,29.0,36
2010-11,2.538717276377001,0.07466815518755886,10.0,24.0,34
2010-12,3.8555943927253553,0.12437401266855985,19.0,12.0,31
2011-1,0.41434822472940436,0.051793528091175545,0.0,8.0,8
2011-2,7.293683373870076,0.06454587056522192,28.0,85.0,113
2011-3,14.048221781896634,0.05241873799215162,56.0,212.0,268
2011-4,3.38637435663883,0.0638938557856383,11.0,42.0,53
2011-5,11.7044347918409,0.07502842815282627,60.0,96.0,156
2011-6,1.0324608362887278,0.03823929023291584,8.0,19.0,27
2011-7,4.560209957625788,0.05700262447032235,20.0,60.0,80
2011-8,5.989484603291529,0.0758162608011586,15.0,64.0,79
2011-9,0.9700886603911409,0.0323362886797047,4.0,26.0,30
2011-10,5.58701560073594,0.09469517967349052,25.0,34.0,59
2011-11,2.927530834483716,0.08364373812810617,12.0,23.0,35
2011-12,9.587509532463388,0.0460937958291509,42.0,166.0,208
2012-1,3.2080504394849165,0.05346750732474861,17.0,43.0,60
2012-2,7.450246970237673,0.10205817767448867,29.0,44.0,73
2012-3,1.597602497412766,0.05325341658042553,9.0,21.0,30
2012-4,4.835371527748107,0.07926838570078863,17.0,44.0,61
2012-5,17.060523452966727,0.07450010241470187,78.0,151.0,229
2012-6,4.319479682196794,0.07853599422175989,22.0,33.0,55
2012-7,3.894846898479081,0.08286908294636343,11.0,36.0,47
2012-8,3.293371260812979,0.04704816086875684,18.0,52.0,70
2012-9,6.647307863021582,0.0639164217598229,21.0,83.0,104
2012-10,3.7956429920606327,0.07442437239334573,10.0,41.0,51
2012-11,4.10240236665354,0.08372249727864367,17.0,32.0,49
2012-12,15.37845128236237,0.1423930674292812,49.0,59.0,108
2013-1,25.100723845842413,0.07723299644874589,93.0,232.0,325
2013-2,9.258533475769008,0.07588961865384433,32.0,90.0,122
2013-3,6.9731606966571285,0.07043596663290029,38.0,61.0,99
2013-4,3.206575238003952,0.0344793036344511,20.0,73.0,93
2013-5,5.194684489138827,0.03791740503021041,31.0,106.0,137
2013-6,4.252786064324882,0.09890200149592748,27.0,16.0,43
2013-7,3.9281004713574506,0.07856200942714901,25.0,25.0,50
2013-8,23.315188420788743,0.10137038443821193,104.0,126.0,230
2013-9,13.012225300954412,0.08733037114734506,44.0,105.0,149
2013-10,11.399517896619438,0.08084764465687544,46.0,95.0,141
2013-11,13.359681541966182,0.0699459766595088,72.0,119.0,191
2013-12,18.675197568971992,0.09577024394344612,86.0,109.0,195
2014-1,10.081944688406491,0.0861704674222777,41.0,76.0,117
2014-2,6.291842095432263,0.07149820562991208,31.0,57.0,88
2014-3,6.4906482167313175,0.07460515191645192,23.0,64.0,87
2014-4,3.966168636568043,0.08094221707281721,16.0,33.0,49
2014-5,4.31328681354772,0.10520211740360291,17.0,24.0,41
2014-6,7.165844290950831,0.062311689486528966,27.0,88.0,115
2014-7,9.954459553103446,0.11711128886004053,43.0,42.0,85
2014-8,5.946116419578935,0.07928155226105246,20.0,55.0,75
2014-9,13.039577628739758,0.06652845728948856,57.0,139.0,196
2014-10,12.835285956051596,0.08731487044933059,55.0,92.0,147
2014-11,7.43435085667014,0.08169616326011143,34.0,57.0,91
2014-12,4.952292586445746,0.07282783215361391,22.0,46.0,68
2015-1,9.011988533558904,0.07702554302187098,34.0,83.0,117
2015-2,14.83757020364071,0.07456065428965182,66.0,133.0,199
2015-3,18.23765152594655,0.12665035781907327,73.0,71.0,144
2015-4,18.999228731125896,0.10214639102755858,84.0,102.0,186
2015-5,6.946680731121647,0.07161526526929533,28.0,69.0,97
2015-6,8.309770072653802,0.09662523340295118,42.0,44.0,86
2015-7,13.087647895660211,0.150432734432876,64.0,23.0,87
2015-8,11.776029430339898,0.0829297847207035,52.0,90.0,142
2015-9,23.57103252519809,0.06696316058294911,95.0,257.0,352
2015-10,13.536437998715028,0.07779562068227028,73.0,101.0,174
2015-11,28.04511204148233,0.08819217623107652,132.0,186.0,318
2015-12,46.43556157021573,0.08189693398627114,197.0,370.0,567
2016-1,30.7348648570092,0.08960601999128047,126.0,217.0,343
2016-2,62.41255931350669,0.09260023637018797,292.0,382.0,674
2016-3,49.14627919162425,0.09433067023344387,227.0,294.0,521
2016-4,33.0475163911836,0.10014398906419272,158.0,172.0,330
2016-5,27.153489468665846,0.09838220821980379,117.0,159.0,276
2016-6,16.461153991575877,0.08149086134443503,75.0,127.0,202
2016-7,14.400706585704604,0.08228975191831203,53.0,122.0,175
2016-8,10.33474858029164,0.08202181412929872,47.0,79.0,126
2016-9,16.825191194341038,0.09614394968194878,64.0,111.0,175
2016-10,11.96847499081327,0.08086807426225183,49.0,99.0,148
2016-11,19.729317576361748,0.09219307278673713,73.0,141.0,214
2016-12,26.087487054307275,0.09626378986829252,97.0,174.0,271
2017-1,12.57214545064944,0.07573581596776771,61.0,105.0,166
2017-2,34.15843136544438,0.08290881399379704,162.0,250.0,412
2017-3,19.37635095273724,0.09405995608124874,85.0,121.0,206
2017-4,12.579426227950059,0.06484240323685597,61.0,133.0,194
2017-5,11.438745859033858,0.0701763549633979,44.0,119.0,163
2017-6,13.341738424061719,0.0741207690225651,66.0,114.0,180
2017-7,52.11805510430597,0.10259459666201962,207.0,301.0,508
2017-8,32.63029135454878,0.09063969820707994,132.0,228.0,360
2017-9,41.01373091776461,0.0696328198943372,160.0,429.0,589
2017-10,32.84852257270827,0.08644348045449544,172.0,208.0,380
2017-11,35.063106213270785,0.08899265536363143,140.0,254.0,394
2017-12,11.869213372997608,0.07860406207283184,63.0,88.0,151
2018-1,24.850655287664047,0.09136270326347076,110.0,162.0,272
2018-2,28.312388375427176,0.12099311271550076,118.0,116.0,234
2018-3,19.471649296759924,0.07576517236093355,75.0,182.0,257
2018-4,14.39136063847016,0.09406118064359581,63.0,90.0,153
2018-5,12.73321480911522,0.0866205089055457,65.0,82.0,147
2018-6,11.10966160832278,0.06612893814477845,42.0,126.0,168
2018-7,9.245262740782366,0.07769128353598627,35.0,84.0,119
2018-8,18.595913227521816,0.08771657182793309,88.0,124.0,212
2018-9,13.075433144907057,0.08435763319294876,59.0,96.0,155
2018-10,18.67051314611499,0.1159659201622049,76.0,85.0,161
2018-11,15.999087780521126,0.0898825156209052,72.0,106.0,178
2018-12,10.116232507836274,0.07330603266548025,42.0,96.0,138
2019-1,11.031764120693405,0.09117160430325127,36.0,85.0,121
2019-2,15.429524924268517,0.11601146559600388,65.0,68.0,133
2019-3,11.689093384056841,0.07639930316377021,49.0,104.0,153
2019-4,15.783668234968017,0.10117736048056421,66.0,90.0,156
2019-5,23.129504497038862,0.08350001623479733,96.0,181.0,277
2019-6,19.091652150722645,0.09134761794604136,82.0,127.0,209
2019-7,87.6977987844593,0.184626944809388,359.0,116.0,475
2019-8,58.702083046920905,0.1626096483294208,247.0,114.0,361
2019-9,61.53136148431696,0.18645867116459686,261.0,69.0,330
2019-10,42.86306893710603,0.12460194458461055,190.0,154.0,344
2019-11,9.004092892300495,0.07320400725447557,49.0,74.0,123
2019-12,10.07660604649041,0.029900908149823175,141.0,196.0,337
