created_on,text
2020-03-01,"Emerging evidence suggests that the mechanical behavior of the brain plays a critical role in development, disease, and aging. Recent studies have begun to characterize the mechanical behavior of gray and white matter tissue and to identify sets of material models that best reproduce the stress-strain behavior of different brain regions. Yet, these models are mainly phenomenological in nature, their parameters often lack clear physical interpretation, and they fail to correlate the mechanical behavior to the underlying microstructural composition. Here we make a first attempt towards identifying general relations between microstructure and mechanics with the ultimate goal to develop microstructurally motivated constitutive equations for human brain tissue. Using histological staining, we analyze the microstructure of brain specimens from different anatomical regions, the cortex, basal ganglia, corona radiata, and corpus callosum, and identify the regional stiffness and viscosity under multiple loading conditions, simple shear, compression, and tension. Strikingly, our study reveals a negative correlation between cell count and stiffness, a positive correlation between myelin content and stiffness, and a negative correlation between proteoglycan content and stiffness. Additionally, our analysis shows a positive correlation between lipid and proteoglycan content and viscosity. We demonstrate how understanding the microstructural origin of the macroscopic behavior of the brain can help us design microstructure-informed material models for human brain tissue that inherently capture regional heterogeneities. This study represents an important step towards using brain tissue stiffness and viscosity as early diagnostic markers for clinical conditions including chronic traumatic encephalopathy, Alzheimer's and Parkinson's disease, or multiple sclerosis. STATEMENT OF SIGNIFICANCE: The complex and heterogeneous mechanical properties of brain tissue play a critical role for brain function. To understand and predict how brain tissue properties vary in space and time, it will be key to link the mechanical behavior to the underlying microstructural composition. Here we use histological staining to quantify area fractions of microstructural components of mechanically tested specimens and evaluate their individual contributions to the nonlinear macroscopic mechanical response. We further propose a microstructure-informed material model for human brain tissue that inherently captures regional heterogeneities. The current work provides unprecedented insights into the biomechanics of human brain tissue, which are highly relevant to develop refined computational models for brain tissue behavior or to advance neural tissue engineering. "
2020-02-01,
2020-02-01,"Traumatic brain injury (TBI) and Alzheimer's disease (AD) bear a complex relationship, potentially increasing risk of one another reciprocally. However, recent evidence suggests post-TBI dementia exists as a distinct neurodegenerative syndrome, confounding AD diagnostic accuracy in clinical settings. This investigation sought to evaluate TBI's impact on the accuracy of clinician-diagnosed AD using gold standard neuropathological criteria. In this preliminary analysis, data were acquired from the National Alzheimer's Coordinating Centre (NACC), which aggregates clinical and neuropathologic information from Alzheimer's disease centres across the United States. Modified National Institute on Aging-Reagan criteria were applied to confirm AD by neuropathology. Among participants with clinician-diagnosed AD, TBI history was associated with misdiagnosis (false positives) (OR = 1.351 [95% CI: 1.091-1.674],  "
2020-02-01,"Recent discovery of chronic traumatic encephalopathy in former National Football League (NFL) players has led to a surge of papers investigating cognitive functioning in these former athletes. This critical review of the literature focused on the neuropsychological functioning in these ageing athletes, and included 22 articles published between 2013 and 2019, of which 13 reported on neuroradiological imaging and four focused on dose-response relationships of repetitive head injury on cognitive outcomes. Four studies suggest higher prevalence of MCI and neurodegenerative disease among NFL retirees, although a quantifiable risk and prevalence of cognitive impairment and dementia in these players remains unknown. Decreased verbal memory has been found in some players across multiple studies, though with unknown clinical significance due to small sample sizes, unreported effect sizes, and absence of longitudinal data. Studies investigating a dose-response relationship between cognitive decline and head injury have generated mixed findings utilizing various measures of head injury exposure. Neuroradiological findings are inconsistent, but suggest that some NFL players may be at greater risk for reduced white matter integrity. Future research is needed to understand the relationship between sports-related concussions and the risk of long-term cognitive decline and neurodegenerative disease in ageing NFL players. "
2020-02-01,"Repeated mild traumatic brain injury (rmTBI) can lead to development of chronic traumatic encephalopathy (CTE), which is characterized by progressive neurodegeneration with presence of white matter damage, gliosis and hyper-phosphorylated tau. While animal models of rmTBI have been documented, few characterize the molecular pathogenesis and expression profiles of relevant injured brain regions. Additionally, while the usage of transgenic tau mice in rmTBI is prevalent, the effects of tau on pathological outcomes has not been well studied. Here we characterized a 42-impact closed-head rmTBI paradigm on 3-4 month old male C57BL/6 (WT) and Tau-overexpressing mice (Tau58.4). This injury paradigm resulted in chronic gliosis, T-cell infiltration, and demyelination of the optic nerve and associated white matter tracts at 1-month post-injury. At 3-months post-injury, Tau58.4 mice showed progressive neuroinflammation and neurodegeneration in multiple brain regions compared to WT mice. Corresponding to histopathology, RNAseq of the optic nerve tract at 1-month post-injury showed significant upregulation of inflammatory pathways and downregulation of myelin synthetic pathways in both genotypes. However, Tau58.4 mice showed additional changes in neurite development, protein processing, and cell stress. Comparisons with published transcriptomes of human Alzheimer's Disease and CTE revealed common signatures including neuroinflammation and downregulation of protein phosphatases. We next investigated the demyelination and T-cell infiltration phenotypes to determine whether these offer potential avenues for therapeutic intervention. Tau58.4 mice were treated with the histamine H3 receptor antagonist GSK239512 for 1-month post-injury to promote remyelination of white matter lesions. This restored myelin gene expression to sham levels but failed to repair the histopathologic lesions. Likewise, injured T-cell-deficient Rag2/Il2rg (R2G2) mice also showed evidence for inflammation and loss of myelin. However, unlike immune-competent mice, R2G2 mice had altered myeloid cell gene expression and fewer demyelinated lesions. Together this data shows that rmTBI leads to chronic white matter inflammatory demyelination and axonal loss exacerbated by human tau overexpression but suggests that immune-suppression and remyelination alone are insufficient to reverse damage. "
2020-01-01,"Repetitive mild traumatic brain injuries (TBI) impair cognitive abilities and increase risk of neurodegenerative disorders in humans. We developed two repetitive mild TBI models in rats with different time intervals between successive weight-drop injuries. Rats were subjected to repetitive Sham (no injury), single mild (mTBI), repetitive mild (rmTBI - 5 hits, 24 h apart), rapid repetitive mild (rapTBI - 5 hits, 5 min apart) or a single severe (sTBI) TBI. Cognitive performance was assessed 2 and 8 weeks after TBI in the novel object recognition test (NOR), and 6-7 weeks after TBI in the water maze (MWM). Acute immunohistochemical markers were evaluated 24 h after TBI, and blood biomarkers were measured with ELISA 8 weeks after TBI. In the NOR, both rmTBI and rapTBI showed poor performance at 2 weeks post-injury. At 8 weeks post-injury, the rmTBI group still performed worse than the Sham and mTBI groups, while the rapTBI group recovered. In the MWM, the rapTBI group performed worse than the Sham and mTBI groups. Acute APP and RMO-14 immunohistochemistry showed axonal injury at the pontomedullary junction in the sTBI, but not in other groups. ELISA showed increased serum GFAP levels 8 weeks after sTBI, while no differences were found between the injury groups in the levels of phosphorylated-tau and S100β. Results suggest that the rmTBI protocol is the most suitable model for testing cognitive impairment after mild repetitive head injuries and that the prolonged cognitive impairment after repetitive mild TBI originates from different structural and molecular mechanisms compared to similar impairments after single sTBI. "
2020-01-01,"Chronic traumatic encephalopathy (CTE) is a neurodegenerative disease associated with exposure to contact and collision sports, including American football. We hypothesized a dose-response relationship between duration of football played and CTE risk and severity. In a convenience sample of 266 deceased American football players from the Veterans Affairs-Boston University-Concussion Legacy Foundation and Framingham Heart Study Brain Banks, we estimated the association of years of football played with CTE pathological status and severity. We evaluated the ability of years played to classify CTE status using receiver operating characteristic curve analysis. Simulation analyses quantified conditions that might lead to selection bias. In total, 223 of 266 participants met neuropathological diagnostic criteria for CTE. More years of football played were associated with having CTE (odds ratio [OR] = 1.30 per year played, 95% confidence interval [CI] = 1.19-1.41; p = 3.8 × 10 The odds of CTE double every 2.6 years of football played. After accounting for brain bank selection, the magnitude of the relationship between years played and CTE status remained consistent. ANN NEUROL 2020;87:116-131. "
2020-01-01,"Neuroinflammation is a characteristic pathological change of acute neurological deficit and chronic traumatic encephalopathy (CTE) after traumatic brain injury (TBI). Microglia are the key cell involved in neuroinflammation and neuronal injury. The type of microglia polarization determines the direction of neuroinflammation. MiR-21-5p elevated in neurons and microglia after TBI in our previous research. In this study, we explore the influence of miR-21-5p for neuroinflammation by regulating microglia polarization. In this study, PC12 and BV2 used to instead of neuron and microglia respectively. The co-cultured transwell system used to simulate interaction of PC12 and BV2 cells in vivo environment. We found that PC12-derived exosomes with containing miR-21-5p were phagocytosed by microglia and induced microglia polarization, meanwhile, the expression of miR-21-5p was increased in M1 microglia cells. Polarization of M1 microglia aggravated the release of neuroinflammation factors, inhibited the neurite outgrowth, increased accumulation of P-tau and promoted the apoptosis of PC12 cells, which formed a model of cyclic cumulative damage. Simultaneously, we also got similar results in vivo experiments. PC12-derived exosomes with containing miR-21-5p is the essential of this cyclic cumulative damage model. Therefore, regulating the expression of miR-21-5p or the secretion of exosomes may be an important novel strategy for the treatment of neuroinflammation after TBI. "
2020-01-01,"Chronic traumatic encephalopathy is a debilitating neurodegenerative disorder associated with repetitive traumatic brain injuries often sustained through prior contact sport participation. The frequency of this disorder in a diverse population, including amateur athletes, is unknown. Primary historical obituary and yearbook records were queried for 2566 autopsy cases in the Mayo Clinic Tissue Registry resulting in identification of 300 former athletes and 450 non-athletes. In these cases, neocortical tissue was screened for tau pathology with immunohistochemistry, including pathology consistent with chronic traumatic encephalopathy, blinded to exposure or demographic information. Using research infrastructure of the Rochester Epidemiology Project, a comprehensive and established medical records-linkage system of care providers in southern Minnesota and western Wisconsin, medical diagnostic billing codes pertaining to head trauma, dementia, movement disorders, substance abuse disorders and psychiatric disorders were recorded for cases and controls in a blinded manner. A total of 42 individuals had pathology consistent with, or features of, chronic traumatic encephalopathy. It was more frequent in athletes compared to non-athletes (27 cases versus 15 cases) and was largely observed in men (except for one woman). For contact sports, American football had the highest frequency of chronic traumatic encephalopathy pathology (15% of cases) and an odds ratio of 2.62 (P-value = 0.005). Cases with chronic traumatic encephalopathy pathology had higher frequencies of antemortem clinical features of dementia, psychosis, movement disorders and alcohol abuse compared to cases without chronic traumatic encephalopathy pathology. Understanding the frequency of chronic traumatic encephalopathy pathology in a large autopsy cohort with diverse exposure backgrounds provides a baseline for future prospective studies assessing the epidemiology and public health impact of chronic traumatic encephalopathy and sports-related repetitive head trauma. "
2020-01-01,"Chronic traumatic encephalopathy (CTE) is a progressive neurodegenerative disorder caused by repetitive trauma to the central nervous system (CNS) suffered by soldiers, contact sport athletes, and civilians following accident-related trauma. CTE is a CNS tauopathy, with trauma-induced inflammation leading to accumulation of hyperphosphorylated forms of the microtubule-binding protein Tau (pTau), resulting in neurofibrillary tangles and progressive loss of neurons. At present, there are no therapies to treat CTE. We hypothesized that direct CNS administration of an adeno-associated virus (AAV) vector coding for an anti-pTau antibody would generate sufficient levels of anti-pTau in the CNS to suppress pTau accumulation thus interrupting the pathogenic process. Using a serotype AAVrh.10 gene transfer vector coding for a monoclonal antibody directed against pTau, we demonstrate the feasibility of this strategy in a murine CTE model in which pTau accumulation was elicited by repeated traumatic brain injury (TBI) using a closed cortical impact procedure over 5 days. Direct delivery of AAVrh.10 expression vectors coding for either of the two different anti-pTau antibodies to the hippocampus of these TBI mice significantly reduced pTau levels across the CNS. Using doses that can be safely scaled to humans, the data demonstrate that CNS administration of AAVrh.10anti-pTau is effective, providing a new strategy to interrupt the CTE consequences of TBI. "
