Month,senti_score,mean_senti_score,positive,negative,count
2009-10,1.3674242424242424,0.3418560606060606,3.0,1.0,4
2009-11,0.0,,0.0,0.0,0
2009-12,0.0,0.0,0.0,1.0,1
2010-1,-0.6,-0.3,0.0,2.0,2
2010-2,0.13636363636363635,0.06818181818181818,1.0,1.0,2
2010-3,0.0,0.0,0.0,1.0,1
2010-4,0.0,0.0,0.0,1.0,1
2010-5,1.2,0.17142857142857143,3.0,4.0,7
2010-6,0.33333333333333326,0.03703703703703703,1.0,8.0,9
2010-7,0.18333333333333335,0.061111111111111116,1.0,2.0,3
2010-8,0.25,0.125,1.0,1.0,2
2010-9,-0.06000000000000001,-0.005000000000000001,0.0,12.0,12
2010-10,0.0,0.0,0.0,5.0,5
2010-11,0.36666666666666664,0.09166666666666666,2.0,2.0,4
2010-12,0.1,0.025,1.0,3.0,4
2011-1,-0.6770833333333333,-0.08463541666666666,0.0,8.0,8
2011-2,0.014772727272727437,0.0004476584022038617,11.0,22.0,33
2011-3,-0.6196969696969697,-0.03261562998405104,0.0,19.0,19
2011-4,-1.470833333333333,-0.10505952380952378,0.0,14.0,14
2011-5,2.4250000000000003,0.05052083333333334,14.0,34.0,48
2011-6,2.1,0.42000000000000004,3.0,2.0,5
2011-7,0.49318181818181817,0.04483471074380165,2.0,9.0,11
2011-8,0.06,0.01,1.0,5.0,6
2011-9,1.975,0.28214285714285714,4.0,3.0,7
2011-10,0.8666666666666666,0.07222222222222222,4.0,8.0,12
2011-11,-0.37083333333333324,-0.0337121212121212,4.0,7.0,11
2011-12,-1.0619047619047626,-0.022593718338399203,13.0,34.0,47
2012-1,-0.9333333333333333,-0.06222222222222222,3.0,12.0,15
2012-2,1.3472222222222219,0.044907407407407396,11.0,19.0,30
2012-3,2.6166666666666667,0.13771929824561405,8.0,11.0,19
2012-4,-4.227651515151516,-0.0813009906759907,5.0,47.0,52
2012-5,8.768212181337143,0.022367888217696794,90.0,302.0,392
2012-6,1.394444444444445,0.01602809706257983,21.0,66.0,87
2012-7,3.584242424242423,0.053496155585707805,22.0,45.0,67
2012-8,13.306509740259745,0.1220780710115573,35.0,74.0,109
2012-9,6.711590909090912,0.0798998917748918,26.0,58.0,84
2012-10,5.032738095238094,0.09678342490842488,20.0,32.0,52
2012-11,-1.3108333333333344,-0.016183127572016474,19.0,62.0,81
2012-12,293.55014880952353,0.09742786220030651,931.0,2082.0,3013
2013-1,125.3536257665941,0.03734096686523506,609.0,2748.0,3357
2013-2,179.27605669793218,0.08432552055406028,645.0,1481.0,2126
2013-3,12.711983056006568,0.011958591774230073,169.0,894.0,1063
2013-4,11.761066017316011,0.05091370570266671,64.0,167.0,231
2013-5,11.695030814093318,0.059065812192390495,44.0,154.0,198
2013-6,2.93324074074074,0.03491953262786595,26.0,58.0,84
2013-7,1.141776695526696,0.016790833757745528,20.0,48.0,68
2013-8,13.131536796536798,0.04208825896325897,121.0,191.0,312
2013-9,15.125947420634922,0.09886240144205832,54.0,99.0,153
2013-10,23.008231421356445,0.05426469674848218,119.0,305.0,424
2013-11,19.303012434614004,0.04468289915419908,129.0,303.0,432
2013-12,22.172196969696987,0.06678372581234032,103.0,229.0,332
2014-1,118.8253805916305,0.145263301456761,473.0,345.0,818
2014-2,24.802241762866778,0.08464928929306068,85.0,208.0,293
2014-3,22.872736291486277,0.12707075717492375,75.0,105.0,180
2014-4,16.993632756132754,0.11719746728367417,45.0,100.0,145
